id,Weekday of Fecha Referencia,Day of Fecha Referencia,Month of Fecha Referencia,Giros
551,2,24,2,1855
552,2,24,3,3525
553,2,24,4,3407
554,2,24,5,2599
555,2,24,6,1615
556,2,24,7,4140
557,2,24,9,6019
558,2,24,10,3425
559,2,24,11,7028
560,2,24,12,9153
561,2,25,2,6178
562,2,25,3,2112
563,2,25,4,3300
564,2,25,6,7917
565,2,25,7,4125
566,2,25,8,8435
567,2,25,9,4953
568,2,25,10,2959
569,2,25,11,2114
570,2,25,12,1860
571,2,26,1,8270
572,2,26,2,5875
573,2,26,3,6756
574,2,26,4,2883
575,2,26,5,6538
576,2,26,6,4575
577,2,26,7,3021
578,2,26,8,2080
579,2,26,9,3746
580,2,26,11,6460
581,2,26,12,3443
582,2,27,1,1996
583,2,27,2,4737
584,2,27,3,5490
585,2,27,5,2246
586,2,27,6,3985
587,2,27,8,6834
588,2,27,9,2946
589,2,27,10,7726
590,2,27,11,4364
591,2,27,12,3751
592,2,28,1,6444
593,2,28,2,4340
594,2,28,3,3602
595,2,28,4,6064
596,2,28,5,6209
597,2,28,6,3270
598,2,28,7,9266
599,2,28,8,4341
600,2,28,10,2154
601,2,28,11,4363
602,2,29,1,6419
603,2,29,3,3418
604,2,29,4,2772
605,2,29,5,4447
606,2,29,7,2269
607,2,29,8,5087
608,2,29,9,8974
609,2,29,10,7307
610,2,29,11,3392
611,2,29,12,12132
612,2,30,1,4790
613,2,30,4,11309
614,2,30,5,4941
615,2,30,6,10338
616,2,30,7,8667
617,2,30,8,3611
618,2,30,9,3499
619,2,30,10,5370
620,2,30,12,4059
621,2,31,1,4856
622,2,31,3,6748
623,2,31,5,4706
624,2,31,7,6824
625,2,31,10,6756
626,2,31,12,9150
627,3,1,1,2432
628,3,1,2,5891
629,3,1,3,6265
630,3,1,4,8305
631,3,1,5,6032
632,3,1,6,5754
633,3,1,7,12444
634,3,1,8,7334
635,3,1,10,4807
636,3,1,11,4493
637,3,2,1,11046
638,3,2,3,4941
639,3,2,4,4011
640,3,2,5,7794
641,3,2,7,4597
642,3,2,8,7109
643,3,2,9,13108
644,3,2,10,12182
645,3,2,11,6148
646,3,2,12,13207
647,3,3,1,6713
648,3,3,2,4203
649,3,3,4,10595
650,3,3,5,7151
651,3,3,6,11597
652,3,3,7,11155
653,3,3,8,4726
654,3,3,9,3807
655,3,3,10,7369
656,3,3,12,3684
657,3,4,1,4419
658,3,4,2,3156
659,3,4,3,10811
660,3,4,4,7617
661,3,4,5,5203
662,3,4,6,3803
663,3,4,7,7188
664,3,4,9,10942
665,3,4,10,6787
666,3,4,11,11984
667,3,4,12,10254
668,3,5,2,10195
669,3,5,3,3854
670,3,5,4,5477
671,3,5,6,10307
672,3,5,7,6173
673,3,5,8,11592
674,3,5,9,6847
675,3,5,10,5047
676,3,5,11,3712
677,3,5,12,6919
678,3,6,1,6473
679,3,6,2,8721
680,3,6,3,8846
681,3,6,4,4277
682,3,6,5,10141
683,3,6,6,6716
684,3,6,7,4017
685,3,6,8,3268
686,3,6,9,5615
687,3,6,11,10319
688,3,6,12,4701
689,3,7,1,3568
690,3,7,2,5721
691,3,7,3,6095
692,3,7,5,3466
693,3,7,6,5547
694,3,7,8,10409
695,3,7,9,4677
696,3,7,10,10384
697,3,7,11,6118
698,3,7,12,5142
699,3,8,1,8980
700,3,8,2,3794
701,3,8,3,4257
702,3,8,4,6605
703,3,8,5,9463
704,3,8,6,3753
705,3,8,7,9100
706,3,8,8,5828
707,3,8,10,2849
708,3,8,11,4839
709,3,9,1,7282
710,3,9,3,3223
711,3,9,4,2533
712,3,9,5,5778
713,3,9,7,2598
714,3,9,8,4823
715,3,9,9,9419
716,3,9,10,8205
717,3,9,11,3430
718,3,9,12,12032
719,3,10,1,5486
720,3,10,2,4287
721,3,10,4,10676
722,3,10,5,5544
723,3,10,6,9230
724,3,10,7,10264
725,3,10,8,4185
726,3,10,9,3675
727,3,10,10,6255
728,3,10,12,3956
729,3,11,1,3952
730,3,11,2,3111
731,3,11,3,8606
732,3,11,4,5847
733,3,11,5,4013
734,3,11,6,3212
735,3,11,7,5727
736,3,11,9,8800
737,3,11,10,5286
738,3,11,11,9352
739,3,11,12,9412
740,3,12,2,8243
741,3,12,3,2793
742,3,12,4,4675
743,3,12,6,8718
744,3,12,7,4801
745,3,12,8,9375
746,3,12,9,5761
747,3,12,10,2259
748,3,12,11,2764
749,3,12,12,8233
750,3,13,1,9371
751,3,13,2,7227
752,3,13,3,7609
753,3,13,4,3160
754,3,13,5,7480
755,3,13,6,6049
756,3,13,7,3405
757,3,13,8,2721
758,3,13,9,4857
759,3,13,11,7885
760,3,13,12,4834
761,3,14,1,2392
762,3,14,2,4528
763,3,14,3,4679
764,3,14,5,2642
765,3,14,6,4546
766,3,14,8,7815
767,3,14,9,3224
768,3,14,10,9004
769,3,14,11,5279
770,3,14,12,3595
771,3,15,1,7786
772,3,15,2,3555
773,3,15,3,4099
774,3,15,4,6289
775,3,15,5,7493
776,3,15,6,3302
777,3,15,7,9292
778,3,15,8,3068
779,3,15,10,2297
780,3,15,11,4804
781,3,16,1,6669
782,3,16,3,2863
783,3,16,4,2580
784,3,16,5,5047
785,3,16,7,2423
786,3,16,8,5201
787,3,16,9,8970
788,3,16,10,7712
789,3,16,11,3137
790,3,16,12,10519
791,3,17,1,4443
792,3,17,2,2690
793,3,17,4,7539
794,3,17,5,4037
795,3,17,6,7259
796,3,17,7,7486
797,3,17,8,3181
798,3,17,9,2170
799,3,17,10,4930
800,3,17,12,2664
801,3,18,1,3048
802,3,18,2,1990
803,3,18,3,4097
804,3,18,4,4241
805,3,18,5,2849
806,3,18,6,2121
807,3,18,7,4832
808,3,18,9,7089
809,3,18,10,3880
810,3,18,11,7516
811,3,18,12,8662
812,3,19,2,6399
813,3,19,3,2031
814,3,19,4,3863
815,3,19,6,6816
816,3,19,7,3908
817,3,19,8,7935
818,3,19,9,4573
819,3,19,10,2867
820,3,19,11,2014
821,3,19,12,9187
822,3,20,1,8243
823,3,20,2,5780
824,3,20,3,6784
825,3,20,4,2633
826,3,20,5,7047
827,3,20,6,4107
828,3,20,7,2689
829,3,20,8,1931
830,3,20,9,4102
831,3,20,11,6660
832,3,20,12,5984
833,3,21,1,1824
834,3,21,2,3857
835,3,21,3,4055
836,3,21,5,1783
837,3,21,6,4166
838,3,21,8,6215
839,3,21,9,2656
840,3,21,10,7248
841,3,21,11,4202
842,3,21,12,4793
843,3,22,1,5089
844,3,22,2,2964
845,3,22,3,3239
846,3,22,4,5332
847,3,22,5,6459
848,3,22,6,2637
849,3,22,7,7679
850,3,22,8,3928
851,3,22,10,1793
852,3,22,11,3268
853,3,23,1,5053
854,3,23,3,2561
855,3,23,4,1814
856,3,23,5,4027
857,3,23,7,1997
858,3,23,8,3813
859,3,23,9,6751
860,3,23,10,6165
861,3,23,11,2503
862,3,23,12,15732
863,3,24,1,3664
864,3,24,2,2237
865,3,24,4,6338
866,3,24,5,3579
867,3,24,6,5198
868,3,24,7,6222
869,3,24,8,2495
870,3,24,9,1673
871,3,24,10,4355
872,3,24,12,2962
873,3,25,1,3037
874,3,25,2,1944
875,3,25,3,3559
876,3,25,4,3193
877,3,25,5,2871
878,3,25,6,2243
879,3,25,7,4236
880,3,25,9,5756
881,3,25,10,3817
882,3,25,11,7333
883,3,25,12,1759
884,3,26,2,6405
885,3,26,3,1926
886,3,26,4,3760
887,3,26,6,6997
888,3,26,7,3953
889,3,26,8,7540
890,3,26,9,4398
891,3,26,10,2688
892,3,26,11,2112
893,3,26,12,6379
894,3,27,1,2441
895,3,27,2,6396
896,3,27,3,6367
897,3,27,4,2705
898,3,27,5,6339
899,3,27,6,4238
900,3,27,7,2996
901,3,27,8,2019
902,3,27,9,3639
903,3,27,11,6201
904,3,27,12,5149
905,3,28,1,1589
906,3,28,2,6354
907,3,28,3,5562
908,3,28,5,2054
909,3,28,6,4352
910,3,28,8,6400
911,3,28,9,2967
912,3,28,10,7650
913,3,28,11,4359
914,3,28,12,3616
915,3,29,1,6490
916,3,29,3,3534
917,3,29,4,6889
918,3,29,5,6950
919,3,29,6,3450
920,3,29,7,8832
921,3,29,8,4665
922,3,29,10,2328
923,3,29,11,4474
924,3,30,1,7005
925,3,30,3,3717
926,3,30,4,3908
927,3,30,5,4977
928,3,30,7,2719
929,3,30,8,5130
930,3,30,9,11192
931,3,30,10,8122
932,3,30,11,4387
933,3,30,12,14724
934,3,31,1,6308
935,3,31,5,6340
936,3,31,7,10507
937,3,31,8,4369
938,3,31,10,6758
939,3,31,12,3248
940,4,1,1,694
941,4,1,2,6689
942,4,1,3,7209
943,4,1,5,1897
944,4,1,6,7543
945,4,1,8,12397
946,4,1,9,5388
947,4,1,10,14654
948,4,1,11,4852
949,4,1,12,5337
950,4,2,1,10891
951,4,2,2,5456
952,4,2,3,6092
953,4,2,4,6385
954,4,2,5,13547
955,4,2,6,5317
956,4,2,7,12389
957,4,2,8,7181
958,4,2,10,4639
959,4,2,11,7435
960,4,3,1,10246
961,4,3,3,4664
962,4,3,4,3747
963,4,3,5,7349
964,4,3,7,3980
965,4,3,8,6700
966,4,3,9,12024
967,4,3,10,11449
968,4,3,11,5313
969,4,3,12,13582
970,4,4,1,5965
971,4,4,2,4359
972,4,4,4,9845
973,4,4,5,6126
974,4,4,6,10832
975,4,4,7,10245
976,4,4,8,4444
977,4,4,9,3432
978,4,4,10,6059
979,4,4,12,3479
980,4,5,1,4401
981,4,5,2,3311
982,4,5,3,10281
983,4,5,4,7012
984,4,5,5,4885
985,4,5,6,3597
986,4,5,7,6764
987,4,5,9,10735
988,4,5,10,6102
989,4,5,11,12165
990,4,5,12,11278
991,4,6,2,9597
992,4,6,3,3462
993,4,6,4,4900
994,4,6,6,9619
995,4,6,7,5772
996,4,6,8,11109
997,4,6,9,6481
998,4,6,10,4322
999,4,6,11,3250
1000,4,6,12,5575
1001,4,7,1,13598
1002,4,7,2,7927
1003,4,7,3,8708
1004,4,7,4,3789
1005,4,7,5,9253
1006,4,7,6,6289
