id,Weekday of Fecha Referencia,Day of Fecha Referencia,Month of Fecha Referencia,Giros
458,Tuesday,15,January,7321
459,Tuesday,15,March,3340
460,Tuesday,15,April,2946
461,Tuesday,15,May,5439
462,Tuesday,15,July,2826
463,Tuesday,15,August,2463
464,Tuesday,15,September,9398
465,Tuesday,15,October,8134
466,Tuesday,15,November,3661
467,Tuesday,15,December,10811
468,Tuesday,16,January,4937
469,Tuesday,16,February,2939
470,Tuesday,16,April,8201
471,Tuesday,16,May,4815
472,Tuesday,16,June,8071
473,Tuesday,16,July,8616
474,Tuesday,16,August,4068
475,Tuesday,16,September,2442
476,Tuesday,16,October,5643
477,Tuesday,16,December,3011
478,Tuesday,17,January,3581
479,Tuesday,17,February,2158
480,Tuesday,17,March,4651
481,Tuesday,17,April,5168
482,Tuesday,17,May,3398
483,Tuesday,17,June,2422
484,Tuesday,17,July,5461
485,Tuesday,17,September,7620
486,Tuesday,17,October,4391
487,Tuesday,17,November,8290
488,Tuesday,17,December,8840
489,Tuesday,18,February,7153
490,Tuesday,18,March,2261
491,Tuesday,18,April,4947
492,Tuesday,18,June,7870
493,Tuesday,18,July,4424
494,Tuesday,18,August,8734
495,Tuesday,18,September,5284
496,Tuesday,18,October,3146
497,Tuesday,18,November,2199
498,Tuesday,18,December,9333
499,Tuesday,19,January,9112
500,Tuesday,19,February,6174
501,Tuesday,19,March,6506
502,Tuesday,19,April,2931
503,Tuesday,19,May,7155
504,Tuesday,19,June,4534
505,Tuesday,19,July,3087
506,Tuesday,19,August,2356
507,Tuesday,19,September,4495
508,Tuesday,19,November,6810
509,Tuesday,19,December,5569
510,Tuesday,20,January,2100
511,Tuesday,20,February,4255
512,Tuesday,20,March,4593
513,Tuesday,20,May,2136
514,Tuesday,20,June,4507
515,Tuesday,20,August,7060
516,Tuesday,20,September,3095
517,Tuesday,20,October,7899
518,Tuesday,20,November,4512
519,Tuesday,20,December,4734
520,Tuesday,21,January,5879
521,Tuesday,21,February,3173
522,Tuesday,21,March,3831
523,Tuesday,21,April,5024
524,Tuesday,21,May,7025
525,Tuesday,21,June,2954
526,Tuesday,21,July,8122
527,Tuesday,21,August,4610
528,Tuesday,21,October,2050
529,Tuesday,21,November,3950
530,Tuesday,22,January,5412
531,Tuesday,22,March,3025
532,Tuesday,22,April,2164
533,Tuesday,22,May,4299
534,Tuesday,22,July,2184
535,Tuesday,22,August,4131
536,Tuesday,22,September,7707
537,Tuesday,22,October,6631
538,Tuesday,22,November,2820
539,Tuesday,22,December,14611
540,Tuesday,23,January,3769
541,Tuesday,23,February,2455
542,Tuesday,23,April,7633
543,Tuesday,23,May,4056
544,Tuesday,23,June,6520
545,Tuesday,23,July,6926
546,Tuesday,23,August,2762
547,Tuesday,23,September,2014
548,Tuesday,23,October,4544
549,Tuesday,23,December,4670
550,Tuesday,24,January,2973
551,Tuesday,24,February,1855
552,Tuesday,24,March,3525
553,Tuesday,24,April,3407
554,Tuesday,24,May,2599
555,Tuesday,24,June,1615
556,Tuesday,24,July,4140
557,Tuesday,24,September,6019
558,Tuesday,24,October,3425
559,Tuesday,24,November,7028
560,Tuesday,24,December,9153
561,Tuesday,25,February,6178
562,Tuesday,25,March,2112
